institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Program Requirements,program_required,3,30,ENG 250,Introduction to Literary Studies,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 300,Fundamentals of Journalism,3,ENG 101|ENG 201,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 303,Journalism: News Writing,3,ENG 201,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 304,Journalism: Feature Writing,3,ENG 201,,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 314,Creative Nonfiction,3,ENG 201,ENG 335|ENG 395,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 335,Autobiography,3,ENG 201,ENG 314|ENG 395,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Journalism Concentration Requirements,program_required,12,35,ENG 395,Literary Journalism,3,ENG 201,ENG 314|ENG 335,,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,English 300-Level Electives,program_elective,6,40,WAL-JRN-ENG-ELECTIVE-1,English 300-Level Elective (1 of 2),3,,,WAL_ENGLISH_ELECTIVES,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,English 300-Level Electives,program_elective,6,40,WAL-JRN-ENG-ELECTIVE-2,English 300-Level Elective (2 of 2),3,,,WAL_ENGLISH_ELECTIVES,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Modern Language Requirement,program_required,3,45,WAL-JRN-LANGUAGE,Second course in the same Modern Foreign Language,3,,,WAL_MODERN_LANGUAGE,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,Liberal Arts Elective,program_elective,3,50,WAL-JRN-LIBERAL,Approved Liberal Arts Elective,3,,,WAL_JRN_LIBERAL,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
BMCC,English,ENG,WAL_JRN_AA,Writing and Literature - Journalism Concentration,AA,2025-2026,General Elective,program_elective,3,55,WAL-JRN-GENERAL,General Elective or Common Core STEM excess credits,3,,,BMCC_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/english/requirements/,,,,
